Time,Lab_D_5_TEE,Lab_D_175_TEE,Lab_D_345_TEE,Lab_D_515_TEE,Pre_D_5_TEE,Pre_D_175_TEE,Pre_D_345_TEE,Pre_D_515_TEE,Err_D_5_TEE,Err_D_175_TEE,Err_D_345_TEE,Err_D_515_TEE
378.0,13.501985164,10.036604306,5.228860469000001,2.05026397,14.26012134552002,10.37820053100586,6.16502046585083,2.199422836303711,-0.7581361815200189,-0.3415962250058602,-0.9361599968508294,-0.1491588663037109
195.0,16.240255739,12.734413145999998,8.151190187000001,2.56347656,15.323774337768555,11.189711570739746,6.6497087478637695,2.3635473251342773,0.9164814012314437,1.5447015752602518,1.5014814391362314,0.19992923486572245
51.0,26.78503265,19.495146176,10.876791385,3.9749145499999976,25.685386657714844,19.095020294189453,11.37130069732666,3.9624223709106445,1.0996459922851578,0.40012588181054554,-0.4945093123266595,0.012492179089353073
412.0,12.585504154,8.631024166,5.1822662390000005,1.81375274,12.397635459899902,8.957222938537598,5.316318035125732,1.9120376110076904,0.1878686941000982,-0.3261987725375981,-0.13405179612573193,-0.09828487100769046
365.0,0.0,0.0,0.0,0.0,3.337019443511963,2.0448155403137207,1.1881606578826904,0.5142737030982971,-3.337019443511963,-2.0448155403137207,-1.1881606578826904,-0.5142737030982971
50.0,26.48925781,19.114630126,10.930197145,4.163606259999998,25.169750213623047,18.70163345336914,11.136336326599121,3.88283371925354,1.3195075963769547,0.41299667263086093,-0.2061391815991218,0.2807725407464581
418.0,16.623361204000002,11.241230776,6.123542789,2.19140777,14.523965835571289,10.579499244689941,6.28524923324585,2.2401342391967773,2.0993953684287128,0.6617315313100587,-0.16170644424584957,-0.048726469196777256
33.0,27.09770203,19.970075986,11.393682865,3.5514831499999997,25.884401321411133,19.246850967407227,11.461987495422363,3.993140935897827,1.2133007085888678,0.7232250185927747,-0.06830463042236268,-0.44165778589782745
306.0,27.395248412,19.72770691,11.490686032,4.220962530000001,26.868558883666992,19.997676849365234,11.910446166992188,4.145050048828125,0.5266895283330086,-0.26996993936523594,-0.4197601349921882,0.07591248117187632
196.0,16.514778139,12.683868405999998,7.706642147,2.5138854900000016,16.764053344726562,12.288565635681152,7.306018352508545,2.5857856273651123,-0.24927520572656192,0.3953027703188461,0.40062379449145524,-0.0719001373651107
388.0,18.874986264,13.853208926,6.960868839,2.69876251,17.649816513061523,12.964354515075684,7.709643363952637,2.7224605083465576,1.225169750938477,0.888854410924317,-0.748774524952637,-0.023697998346557725
417.0,15.750885014,11.047634886,6.087303158999999,2.177102659999999,14.18128776550293,10.318055152893066,6.1290974617004395,2.187258720397949,1.56959724849707,0.7295797331069345,-0.041794302700440156,-0.010156060397950029
114.0,10.438236995,7.575988767999999,4.964964290999999,1.4344619799999982,13.652853012084961,9.914885520935059,5.888298511505127,2.105719804763794,-3.2146160170849605,-2.3388967529350593,-0.9233342205051276,-0.6712578247637957
436.0,22.898538204,16.655104066,8.745193479000001,3.18799743,26.016056060791016,19.347293853759766,11.521979331970215,4.013462066650391,-3.1175178567910145,-2.692189787759766,-2.776785852970214,-0.8254646366503908
297.0,20.750999452,16.507148739999998,12.021882632000002,4.281044010000002,17.94597625732422,13.1903076171875,7.844598293304443,2.7681591510772705,2.8050231946757798,3.316841122812498,4.177284338695559,1.5128848589227317
223.0,23.427009579,18.313407896,11.019842527000002,3.8956237799999993,23.897377014160156,17.73090362548828,10.556544303894043,3.6864778995513916,-0.47036743516015633,0.5825042705117198,0.4632982231059586,0.2091458804486077
308.0,27.938842772,18.91136169,10.828836062000002,3.5743713400000026,27.259109497070312,20.295631408691406,12.088412284851074,4.205333709716797,0.6797332749296885,-1.3842697186914066,-1.2595762228510718,-0.6309623697167943
47.0,26.3415741,19.393238826,11.753218075,4.297256469999997,24.695608139038086,18.33989715576172,10.920279502868652,3.809657335281372,1.645965960961913,1.0533416702382823,0.8329385721313471,0.48759913471862504
104.0,13.178007505,10.142326357999998,4.838125611000001,1.3448165900000006,15.065085411071777,10.99234390258789,6.531827449798584,2.3236303329467773,-1.8870779060717773,-0.8500175445878924,-1.6937018387985834,-0.9788137429467767
85.0,20.95712891,15.168325806,9.349005124999998,3.35597992,20.513893127441406,15.149489402770996,9.014752388000488,3.1643950939178467,0.4432357825585953,0.01883640322900426,0.33425273699950964,0.1915848260821531
212.0,22.892951969,16.966819766,9.838104247,3.637313839999999,22.223373413085938,16.453733444213867,9.793733596801758,3.4281723499298096,0.669578555914061,0.5130863217861332,0.0443706501982426,0.20914149007018956
247.0,26.665687559,19.534111026,11.187553407,3.70121002,26.990299224853516,20.090553283691406,11.965920448303223,4.163841247558594,-0.3246116658535172,-0.5564422576914048,-0.7783670413032233,-0.46263122755859376
168.0,20.086560055,16.933441157999997,11.659622191,4.896163940000001,26.092559814453125,19.405654907226562,11.556839942932129,4.025271415710449,-6.005999759453125,-2.4722137492265652,0.1027822480678715,0.8708925242895518
209.0,22.253172299,17.388343805999998,10.954856877,3.5010742200000013,22.991973876953125,17.04013442993164,10.14397144317627,3.546769380569458,-0.7388015779531258,0.34820937606835756,0.8108854338237297,-0.04569516056945666
187.0,5.269050598,3.685951233,1.512391667000001,0.7008148199999997,7.945072650909424,5.5602498054504395,3.287479877471924,1.2250720262527466,-2.676022052909424,-1.8742985724504395,-1.7750882104719228,-0.5242572062527469
429.0,21.100862124,15.144619745999998,8.275032039000001,2.664566039999998,20.582592010498047,15.201905250549316,9.046058654785156,3.1749956607818604,0.5182701135019521,-0.057285504549318134,-0.7710266157851553,-0.5104296207818622
