Time,Lab_D_5_TEE,Lab_D_175_TEE,Lab_D_345_TEE,Lab_D_515_TEE,Pre_D_5_TEE,Pre_D_175_TEE,Pre_D_345_TEE,Pre_D_515_TEE,Err_D_5_TEE,Err_D_175_TEE,Err_D_345_TEE,Err_D_515_TEE
43.0,13.38005066,9.714126583,6.087303157000001,1.3818740900000002,14.929964065551758,10.889253616333008,6.4702558517456055,2.302781105041504,-1.5499134055517576,-1.1751270333330073,-0.38295269474560456,-0.9209070150415037
54.0,24.64185486,18.707275393,9.704454037,2.8907226600000016,19.293170928955078,14.218146324157715,8.458492279052734,2.9760348796844482,5.348683931044921,4.489129068842285,1.2459617579472653,-0.08531221968444669
37.0,16.19911194,11.755943303,6.769180297,1.8502639800000007,17.263965606689453,12.66997241973877,7.533819198608398,2.662923574447632,-1.0648536666894515,-0.9140291167387691,-0.7646389016083983,-0.8126595944476311
15.0,14.46056366,11.038780213,5.569322207000001,1.5792846699999998,15.081853866577148,11.00513744354248,6.539468765258789,2.3262181282043457,-0.6212902065771484,0.033642769457520316,-0.9701465582587883,-0.7469334582043459
86.0,24.46842194,17.731802373,11.007308957,3.024101260000002,24.45514678955078,18.156444549560547,10.810707092285156,3.7725491523742676,0.013275150449217676,-0.42464217656054615,0.1966018647148431,-0.7484478923742657
79.0,32.53950348,23.761749263,13.614654537,4.23526764,30.429954528808594,22.714710235595703,13.533299446105957,4.694768905639648,2.1095489511914067,1.0470390274042956,0.0813550908940428,-0.45950126563964844
71.0,36.25202179,26.807785033,14.642579647000002,4.34602967,32.793548583984375,24.517921447753906,14.61033821105957,5.059600830078125,3.4584732060156256,2.289863585246092,0.03224143594043127,-0.7135711600781249
55.0,25.7730484,19.575119023,9.634971617,3.09085846,22.070613861083984,16.33718490600586,9.72412395477295,3.4046010971069336,3.702434538916016,3.23793411699414,-0.08915233777294951,-0.3137426371069334
8.0,9.10282135,7.060050963,3.359658817000001,0.9137558000000006,8.827104568481445,6.233165264129639,3.6893715858459473,1.3611488342285156,0.27571678151855394,0.8268856988703615,-0.32971276884594625,-0.44739303422851506
64.0,33.09808502,24.447441103,12.702806087,3.973143010000001,29.768474578857422,22.21005630493164,13.231876373291016,4.5926666259765625,3.3296104411425773,2.2373847980683585,-0.5290702862910148,-0.6195236159765614
16.0,14.79448547,11.332511903,5.8803558370000015,1.83691254,14.659772872924805,10.683114051818848,6.347134113311768,2.261090040206909,0.134712597075195,0.6493978511811527,-0.46677827631176605,-0.42417750020690925
26.0,19.45195923,14.253616333,7.475717166999999,1.8216537499999996,16.58281135559082,12.150288581848145,7.223429203033447,2.5578196048736572,2.8691478744091796,2.1033277511518556,0.25228796396655184,-0.7361658548736576
31.0,20.51925659,15.210151673,8.299691777,1.9836425800000013,21.76346206665039,16.102846145629883,9.584160804748535,3.3572065830230713,-1.2442054766503894,-0.8926944726298824,-1.2844690277485356,-1.37356400302307
61.0,30.96008301,23.518562313,11.771202087000002,3.7251876899999994,29.363807678222656,21.901330947875977,13.047477722167969,4.530203819274902,1.5962753317773455,1.6172313651240238,-1.2762756351679663,-0.805016129274903
77.0,35.85066071,26.185989383,14.241218567,3.992216490000001,32.978309631347656,24.658878326416016,14.69452953338623,5.0881195068359375,2.8723510786523434,1.5271110565839834,-0.4533109663862298,-1.0959030168359365
5.0,6.077766418,4.953384399000001,1.8652511570000008,0.7373260500000001,6.478444576263428,4.4413371086120605,2.619220733642578,0.9988053441047668,-0.40067815826342734,0.5120472903879403,-0.7539695766425774,-0.2614792941047668
39.0,14.99080658,11.009216313,6.314277647000001,1.241819769999999,15.731843948364258,11.501044273376465,6.835657596588135,2.4265129566192627,-0.7410373683642586,-0.49182796037646526,-0.5213799495881339,-1.1846931866192636
38.0,15.68222046,11.326654053,6.528854367000001,1.7242431700000012,16.118759155273438,11.79624080657959,7.011968612670898,2.486215353012085,-0.4365386952734376,-0.46958675357958946,-0.48311424567089745,-0.7619721830120838
85.0,25.34294128,18.397467043,11.154174807,3.172874450000002,27.05442237854004,20.13947296142578,11.99514102935791,4.173739433288574,-1.7114810985400375,-1.7420059184257823,-0.8409662223579097,-1.0008649832885723
44.0,13.20648193,9.709358213,5.883216857000001,1.2885498099999992,13.858099937438965,10.071479797363281,5.981826305389404,2.13739013671875,-0.6516180074389641,-0.36212158436328146,-0.09860944838940355,-0.8488403267187508
9.0,9.788513184,7.897377013,3.593309017000001,0.9347366400000006,10.064647674560547,7.177307605743408,4.253251552581787,1.5520747900009155,-0.2761344905605476,0.7200694072565916,-0.6599425355817861,-0.617338150000915
29.0,20.17770538,15.001296993,7.996423336999999,2.4061203000000013,19.371421813964844,14.277847290039062,8.494149208068848,2.9881091117858887,0.8062835660351553,0.7234497029609379,-0.497725871068849,-0.5819888117858873
57.0,27.63080597,21.079063413,10.593414307,3.4322738699999995,25.524578094482422,18.97233772277832,11.298023223876953,3.937601089477539,2.106227875517579,2.1067256902216798,-0.7046089168769534,-0.5053272194775396
11.0,11.42978668,8.894920353,4.180908207,1.259939580000001,12.359970092773438,8.928485870361328,5.299154281616211,1.9062254428863525,-0.9301834127734381,-0.03356551736132829,-1.118246074616211,-0.6462858628863515
75.0,37.91318665,27.796881103,15.035493467000002,4.442350770000001,33.91893768310547,25.376493453979492,15.123154640197754,5.233310699462891,3.9942489668945313,2.4203876490205083,-0.08766117319775191,-0.7909599294628897
50.0,19.9213028,14.942033383000002,7.635116577000002,2.1982193000000017,16.251550674438477,11.897552490234375,7.072478771209717,2.5067050457000732,3.669752125561523,3.044480892765627,0.5626378057902848,-0.3084857457000716
7.0,7.837295532,6.606101992999999,2.5633407570000006,0.9593963599999996,9.114784240722656,6.452640533447266,3.820450782775879,1.405531406402588,-1.2774887087226565,0.15346145955273371,-1.2571100257758783,-0.4461350464025883
17.0,15.58876038,11.578559873,6.122453307000001,1.8835067800000007,15.315727233886719,11.183571815490723,6.646041393280029,2.362305164337158,0.27303314611328133,0.394988057509277,-0.5235880862800286,-0.4787983843371575
19.0,16.60060883,12.132644653,6.461961367000001,1.9914077799999996,16.916566848754883,12.404925346374512,7.375515937805176,2.609318971633911,-0.31595801875488405,-0.2722806933745119,-0.9135545708051751,-0.6179111916339115
4.0,4.986627197,4.0159225460000005,1.6859603870000015,0.4940032999999992,5.689345836639404,3.839323043823242,2.2596750259399414,0.8770676851272583,-0.7027186396394045,0.17659950217675835,-0.5737146389399399,-0.3830643851272591
35.0,17.40169525,12.506484983,7.139205937000002,2.08963623,20.26011085510254,14.9558687210083,8.899110794067383,3.1252362728118896,-2.8584156051025396,-2.449383738008301,-1.7599048570673812,-1.0356000428118897
84.0,26.51691437,19.247190853,11.736869807,3.3542083799999998,26.699718475341797,19.868865966796875,11.833510398864746,4.118988990783691,-0.18280410534179836,-0.6216751137968757,-0.09664059186474638,-0.7647806107836916
81.0,30.03120422,21.546499633,12.608528137,3.504888919999999,28.36492156982422,21.139270782470703,12.592307090759277,4.376021385192871,1.6662826501757806,0.4072288505292967,0.01622104624072307,-0.871132465192872
1.0,0.0,0.0,0.0,0.0,3.337019443511963,2.0448155403137207,1.1881606578826904,0.5142737030982971,-3.337019443511963,-2.0448155403137207,-1.1881606578826904,-0.5142737030982971
