Temperature
26.268
26.24
26.159
26.115
25.943
25.8
25.726
25.719
25.736
25.808
26.268
26.24
26.159
26.115
25.943
25.8
25.726
25.719
25.736
25.808
26.268
26.24
26.159
26.115
25.943
25.8
