Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
2.742583,1.8037627,3.8251817,2.6841726,1.0358019,0.33755618,-0.04744993
2.713299,1.7596586,3.849795,2.6676335,1.0268508,0.31811002,-0.06468367
2.6680305,1.6676126,3.7982256,2.5477061,0.97347873,0.32116547,-0.06360434
2.6028512,1.5806159,3.6558032,2.4322226,0.9360059,0.33991614,-0.03637358
2.4970973,1.5300962,3.5106888,2.3363602,0.9187347,0.37355024,0.00202423
2.4001887,1.4960293,3.3617606,2.251062,0.9020505,0.38083634,0.00973452
2.3346198,1.458985,3.233578,2.1776059,0.8971583,0.37386274,0.00066762
2.290298,1.445248,3.0802548,2.1248736,0.9002573,0.39290416,0.00370988
2.3139408,1.5095458,3.0110688,2.1360786,0.94844174,0.44834253,0.06725431
2.2721426,1.533227,2.955229,2.1024363,0.9524261,0.45292884,0.09338878
2.1419206,1.4811784,2.8298845,2.0012882,0.91304666,0.45913637,0.07058682
2.216146,1.566183,2.8439286,2.0510106,0.9949696,0.530135,0.11108898
2.330545,1.6683562,2.8663993,2.1048663,1.0771093,0.56487674,0.12644634
2.4162667,1.7283572,2.8443015,2.1097665,1.1109786,0.55519164,0.10445012
2.3331282,1.7061832,2.7502737,2.0341847,1.0700672,0.4829636,0.04747225
2.172846,1.6244109,2.6293485,1.9104415,1.016795,0.42194498,0.01074249
2.1434736,1.6095439,2.600205,1.8854228,1.013662,0.4176384,0.01407092
