Time,T1_DELTA,T2_DELTA,T3_DELTA,T4_DELTA,T5_DELTA,T6_DELTA,T7_DELTA,Pre_D_5_TEE,Pre_D_175_TEE,Pre_D_345_TEE,Pre_D_515_TEE,Lab_D_5_TEE,Lab_D_175_TEE,Lab_D_345_TEE,Lab_D_515_TEE,Err_D_5_TEE,Err_D_175_TEE,Err_D_345_TEE,Err_D_515_TEE
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4489383697509766,2.0693631172180176,1.264610767364502,0.5748230814933777,0.0,0.0,0.0,0.0,-3.4489383697509766,-2.0693631172180176,-1.264610767364502,-0.5748230814933777
2.0,0.05540652945637703,0.08237183094024658,0.10329537093639374,0.1062413677573204,0.010750990360975266,-0.019905870780348778,-0.006770359817892313,3.6788675785064697,2.2992923259735107,1.3795753717422485,0.5748230814933777,1.789093018,1.2589859,0.5664825439999994,0.0572204599999999,-1.8897745605064697,-1.0403064259735106,-0.8130928277422491,-0.5176026214933778
3.0,0.10406412929296494,0.15332961082458496,0.2648927569389343,0.2274901419878006,0.05103319138288498,-0.037902481853961945,-0.0430113784968853,4.7135491371154785,3.1040444374084473,1.8394337892532349,0.6897876858711243,3.227233887,1.986639404,0.568389894000001,0.1935958800000001,-1.4863152501154784,-1.1174050334084473,-1.271043895253234,-0.49619180587112416
4.0,0.15303881466388702,0.18962232768535614,0.4304448962211609,0.3133566677570343,0.05653693154454231,-0.039949461817741394,-0.07741031050682068,6.667947292327881,4.5985846519470215,2.644186019897461,1.0346815586090088,4.554884338,2.714292907,0.8068084740000003,0.4615783700000015,-2.113062954327881,-1.8842917449470216,-1.8373775458974606,-0.5731031886090072
5.0,0.2080938220024109,0.19255085289478302,0.5834428668022156,0.40379849076271057,0.04172972962260246,-0.04336037114262581,-0.10666432231664658,8.622345924377441,5.9781599044799805,3.5639028549194336,1.264610767364502,5.960464478,3.099577331,1.053810124,0.483512870000002,-2.661881446377442,-2.8785825734799806,-2.5100927309194336,-0.7810978973645
6.0,0.3100340962409973,0.22037236392498016,0.7508755326271057,0.494348406791687,0.053786471486091614,-0.04231312870979309,-0.108952596783638,9.886956214904785,7.01284122467041,4.138726234436035,1.4945399761199951,6.970405579,3.605978393,1.3885498040000002,0.6559921200000005,-2.916550635904785,-3.40686283167041,-2.750176430436035,-0.8385478561199946
7.0,0.3659883141517639,0.21444964408874512,0.8634924292564392,0.5330864191055298,0.04309932887554169,-0.04589392989873886,-0.1451350450515747,11.38149642944336,8.162487030029297,4.8285136222839355,1.7244691848754883,9.074211121,5.508558654000001,2.1742416339999995,0.9727478000000004,-2.30728530844336,-2.653928376029296,-2.654271988283936,-0.7517213848754879
8.0,0.39764630794525146,0.1951049268245697,0.9585530161857605,0.5854412317276001,0.034062229096889496,0.003321409923955798,-0.16765497624874115,12.531142234802246,9.08220386505127,5.403336524963379,1.9543983936309814,10.66507568,7.090704344,2.783639524,0.9698867799999996,-1.8660665548022468,-1.9914995210512698,-2.619697000963379,-0.9845116136309818
9.0,0.5020379424095154,0.24532155692577362,1.1222879886627197,0.7110642194747925,0.07546021044254303,0.07317695766687393,-0.09013760089874268,13.220930099487305,9.542062759399414,5.748230457305908,2.0693631172180176,12.37201691,8.325712584000001,3.437995914,1.46484375,-0.8489131894873054,-1.2163501753994126,-2.310234543305908,-0.6045193672180176
10.0,0.5493982434272766,0.2476031333208084,1.2419840097427368,0.7851748466491699,0.07684455811977386,0.06559343636035919,-0.063203826546669,13.68078899383545,9.886956214904785,5.863195419311523,2.0693631172180176,13.16070557,9.480612184000002,3.833770754,1.604080200000002,-0.5200834238354499,-0.40634403090478344,-2.0294246653115233,-0.4652829172180155
