Uint8_F_0,Uint8_F_1,Uint8_F_2,Uint8_F_3,Uint8_F_4,Uint8_F_5,Uint8_F_6
2.8860602,2.0633268,4.2246366,2.9522672,1.1940824,0.40566787,0.15423612
2.9316661,2.067891,4.1488266,2.879717,1.193306,0.5378435,0.2109265
3.0388708,2.1621945,4.076412,2.8023427,1.2491401,0.6065589,0.24375978
2.9730296,2.1600926,3.9349868,2.7395847,1.2391881,0.56377953,0.28748637
2.8126593,2.0617592,3.7799058,2.6850321,1.1999059,0.5295671,0.29837695
2.8259683,2.080945,3.7029784,2.6824605,1.224018,0.62956953,0.3599823
2.9261522,2.1576324,3.5858362,2.652874,1.2666,0.6570472,0.3998393
2.8645163,2.162837,3.5857773,2.5962896,1.2453253,0.6654473,0.4015797
2.7545815,2.1199055,3.4934986,2.5282924,1.2333556,0.6634875,0.37164697
2.751429,2.1354573,3.3445494,2.5014863,1.256378,0.6784849,0.37858263
2.7707663,2.1685479,3.3365839,2.4808848,1.2836357,0.6925827,0.41239655
2.6950243,2.1362412,3.291599,2.4285538,1.2633691,0.6510399,0.4108585
2.4807546,2.0352507,3.1009893,2.321626,1.2049637,0.6182166,0.34856066
2.3732278,1.98634,2.9758744,2.2094173,1.1888818,0.61775714,0.27714908
2.3686895,1.9855691,2.9552233,2.184954,1.1968921,0.614759,0.2591167
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09736167,0.12081801,0.20323265,0.18104412,0.04408049,0.01712335,0.01464574
0.17162035,0.16796274,0.44351235,0.33757457,0.04671618,0.01414683,0.02330668
0.23226936,0.17744796,0.63397825,0.44257507,0.03246714,0.03574297,0.02436804
0.30965477,0.1956868,0.824797,0.543228,0.03461787,0.09004287,0.04529684
0.41598836,0.24999933,1.0106745,0.651847,0.0490359,0.11724376,0.04811721
0.53335696,0.30367738,1.1915866,0.7701962,0.07070501,0.14625804,0.08138082
0.60689706,0.32414854,1.3217804,0.86874115,0.05990182,0.17362157,0.15127796
0.6602207,0.34811535,1.4571389,0.9551327,0.03359709,0.2172275,0.19444819
0.7462827,0.37242225,1.6418494,1.0337255,0.03127739,0.2477177,0.22382186
0.7975839,0.3786654,1.7828087,1.0926702,0.02461859,0.21476595,0.13741612
0.8651514,0.4113415,1.9196328,1.1677425,0.04393898,0.19301783,0.08985752
0.94322044,0.450406,2.0292432,1.2315772,0.07056556,0.18629742,0.10351567
1.0132055,0.47849897,2.1489174,1.3200597,0.10112123,0.20847936,0.10974132
1.0904471,0.5076625,2.2565541,1.395245,0.10685393,0.23593515,0.1226233
1.1680998,0.50084865,2.3016465,1.3702855,0.10586533,0.2228002,0.11122408
1.2270645,0.48939866,2.2624264,1.3147517,0.11161503,0.20352383,0.11704896
1.2458811,0.48506853,2.1775126,1.2759727,0.13400659,0.19130921,0.08296353
1.2450634,0.5149243,2.1220803,1.2566333,0.18299305,0.20052454,0.06605419
1.1669844,0.5129672,2.021131,1.213966,0.16648144,0.2349034,0.1342245
1.0952234,0.47675422,1.8539066,1.139529,0.13624536,0.25001863,0.15306617
1.0757165,0.4809788,1.7578328,1.0986937,0.13828993,0.28109,0.17332168
1.060706,0.49673566,1.6827246,1.0591562,0.13830215,0.30282184,0.21169345
1.0230665,0.48850936,1.6000847,1.0099415,0.13669914,0.2962218,0.2351211
0.98382556,0.48028016,1.5330956,0.96277314,0.13621879,0.26205823,0.21104333
0.95664984,0.4700779,1.4647268,0.9216398,0.12946104,0.25699723,0.18520325
0.960124,0.49254435,1.4223511,0.91133106,0.14783964,0.27431652,0.19297591
0.9708274,0.51076806,1.4013987,0.90729964,0.17735364,0.3164797,0.26545984
0.9077459,0.46005887,1.3166214,0.8432063,0.14752103,0.29461217,0.23974018
0.8805472,0.45182666,1.2559533,0.8245854,0.14638294,0.25664577,0.2115315
0.9573261,0.5733386,1.3255063,0.9261493,0.22643057,0.293957,0.29895964
1.0218774,0.6628506,1.4354006,1.0134721,0.24906497,0.30153823,0.30914557
1.0579388,0.6873697,1.5313908,1.0624976,0.22342332,0.28240043,0.2022208
